date,value
2008-08-31,324814000000
2008-09-30,345745000000
2008-10-31,277568000000
2008-11-30,227334000000
2008-12-31,210185000000
2009-01-31,205007000000
2009-02-28,199655000000
2009-03-31,203967000000
2009-04-30,208010000000
2009-05-31,214401000000
2009-06-30,217140000000
2009-07-31,228734000000
2009-08-31,236251000000
2009-09-30,254107000000
2009-10-31,265404000000
2009-11-30,250988000000
2009-12-31,262399000000
2010-01-31,266455000000
2010-02-28,263657000000
2010-03-31,277798000000
2010-04-30,295550000000
2010-05-31,268566000000
2010-06-30,263202000000
2010-07-31,267468000000
2010-08-31,268371000000
2010-09-30,288540000000
2010-10-31,303428000000
2010-11-30,309340000000
2010-12-31,313678000000
2011-01-31,326868000000
2011-02-28,348979000000
2011-03-31,355413000000
2011-04-30,360883000000
2011-05-31,355736000000
2011-06-30,345273000000
2011-07-31,344572000000
2011-08-31,308866000000
2011-09-30,298277000000
2011-10-31,317028000000
2011-11-30,303930000000
2011-12-31,301616000000
2012-01-31,309844000000
2012-02-29,323021000000
2012-03-31,330815000000
2012-04-30,335154000000
2012-05-31,315147000000
2012-06-30,320952000000
2012-07-31,313525000000
2012-08-31,320395000000
2012-09-30,339159000000
2012-10-31,342325000000
2012-11-30,351441000000
2012-12-31,355009000000
2013-01-31,388123000000
2013-02-28,390351000000
2013-03-31,403933000000
2013-04-30,408677000000
2013-05-31,401606000000
2013-06-30,407681000000
2013-07-31,412101000000
2013-08-31,414442000000
2013-09-30,432852000000
2013-10-31,445022000000
2013-11-30,456378000000
2013-12-31,478502000000
2014-01-31,487549000000
2014-02-28,502093000000
2014-03-31,487932000000
2014-04-30,475195000000
2014-05-31,475362000000
2014-06-30,502270000000
2014-07-31,498671000000
2014-08-31,501000000000
2014-09-30,503901000000
2014-10-31,492888000000
2014-11-30,496341000000
2014-12-31,495756000000
2015-01-31,485872000000
2015-02-28,504923000000
2015-03-31,518055000000
2015-04-30,549964000000
2015-05-31,541671000000
2015-06-30,547957000000
2015-07-31,530744000000
2015-08-31,515960000000
2015-09-30,497279000000
2015-10-31,513941000000
2015-11-30,515410000000
2015-12-31,503444000000
2016-01-31,487200000000
2016-02-29,474156000000
2016-03-31,483909000000
2016-04-30,495178000000
2016-05-31,489867000000
2016-06-30,487636000000
2016-07-31,513221000000
2016-08-31,510157000000
2016-09-30,540615000000
2016-10-31,523760000000
2016-11-30,539972000000
2016-12-31,529372000000
2017-01-31,553557000000
2017-02-28,568637000000
2017-03-31,577674000000
2017-04-30,590797000000
2017-05-31,582764000000
2017-06-30,584258000000
2017-07-31,594414000000
2017-08-31,596567000000
2017-09-30,606334000000
2017-10-31,607838000000
2017-11-30,627422000000
2017-12-31,642798000000
2018-01-31,665716000000
2018-02-28,645064000000
2018-03-31,645235000000
2018-04-30,652303000000
2018-05-31,668940000000
2018-06-30,646931000000
2018-07-31,652790000000
2018-08-31,652395000000
2018-09-30,648126000000
2018-10-31,607645000000
2018-11-30,592593000000
2018-12-31,554285000000
2019-01-31,568433000000
2019-02-28,581205000000
2019-03-31,574013000000
2019-04-30,588721000000
2019-05-31,568751000000
2019-06-30,596304000000
2019-07-31,602139000000
2019-08-31,564894000000
2019-09-30,555910000000
2019-10-31,554604000000
2019-11-30,563482000000
2019-12-31,579221000000
2020-01-31,561812000000
2020-02-29,545127000000
2020-03-31,479291000000
2020-04-30,524696000000
2020-05-31,552543000000
2020-06-30,584676000000
2020-07-31,613830000000
2020-08-31,645547000000
2020-09-30,654324000000
2020-10-31,659313000000
2020-11-30,722118000000
2020-12-31,778037000000
2021-01-31,798605000000
2021-02-28,813680000000
2021-03-31,822551000000
2021-04-30,847186000000
2021-05-31,861626000000
2021-06-30,882103000000
2021-07-31,844324000000
2021-08-31,911545000000
2021-09-30,903117000000
2021-10-31,935862000000
2021-11-30,918598000000
2021-12-31,910021000000
2022-01-31,829637000000
2022-02-28,835255000000
2022-03-31,799660000000
2022-04-30,772940000000
2022-05-31,752944000000
2022-06-30,683445000000
2022-07-31,696781000000
2022-08-31,687787000000
2022-09-30,664009000000
2022-10-31,649618000000
2022-11-30,643783000000
2022-12-31,606659000000
2023-01-31,641228000000
2023-02-28,624379000000
2023-03-31,645429000000
2023-04-30,631949000000
2023-05-31,644170000000
2023-06-30,681228000000
2023-07-31,709834000000
2023-08-31,689185000000
2023-09-30,680846000000
2023-10-31,635276000000
2023-11-30,660887000000
2023-12-31,700774000000
2024-01-31,701975000000
2024-02-29,742963000000
2024-03-31,784136000000
2024-04-30,775464000000
2024-05-31,809431000000
2024-06-30,809322000000
2024-07-31,810835000000
2024-08-31,797162000000
2024-09-30,813211000000
2024-10-31,815369000000
2024-11-30,890852000000
2024-12-31,899168000000
2025-01-31,937253000000
2025-02-28,918144000000
2025-03-31,880316000000
2025-04-30,850558000000
2025-05-31,920960000000
2025-06-30,1007961000000
2025-07-31,1022548000000
2025-08-31,1059723000000
2025-09-30,1126494000000
2025-10-31,1183654000000
2025-11-30,1214321000000
2025-12-31,1225597000000
2026-01-31,1279042000000
2026-02-28,1253192000000
2026-03-31,1220922000000
2026-04-30,1304281000000
2026-05-31,1415557000000
2026-06-30,1502072000000
