ticker,status,attempts,last_attempt_at,last_ok_at,last_error
A,ok,1,2026-09-11T05:54:43Z,2026-09-11T05:54:43Z,
AA,ok,1,2026-09-11T05:54:42Z,2026-09-11T05:54:42Z,
AAC,ok,1,2026-09-11T05:54:44Z,2026-09-11T05:54:44Z,
AACG,ok,1,2026-09-11T05:54:45Z,2026-09-11T05:54:45Z,
AACI,ok,1,2026-09-11T05:54:46Z,2026-09-11T05:54:46Z,
AACO,ok,1,2026-09-11T05:54:47Z,2026-09-11T05:54:47Z,
AACP,ok,1,2026-09-11T05:54:49Z,2026-09-11T05:54:49Z,
AADX,ok,1,2026-09-11T05:54:48Z,2026-09-11T05:54:48Z,
AAL,ok,1,2026-09-11T05:54:50Z,2026-09-11T05:54:50Z,
AAME,ok,1,2026-09-11T05:54:51Z,2026-09-11T05:54:51Z,
AAMI,ok,1,2026-09-11T05:54:46Z,2026-09-11T05:54:46Z,
AAOI,ok,1,2026-09-11T05:54:47Z,2026-09-11T05:54:47Z,
AAON,ok,1,2026-09-11T05:54:47Z,2026-09-11T05:54:47Z,
AAP,ok,1,2026-09-11T05:54:48Z,2026-09-11T05:54:48Z,
AAPG,ok,1,2026-09-11T05:54:48Z,2026-09-11T05:54:48Z,
AAPL,ok,1,2026-09-11T05:54:49Z,2026-09-11T05:54:49Z,
AARD,ok,1,2026-09-11T05:54:49Z,2026-09-11T05:54:49Z,
AAT,ok,1,2026-09-11T05:54:50Z,2026-09-11T05:54:50Z,
AAUC,ok,1,2026-09-11T05:54:50Z,2026-09-11T05:54:50Z,
AB,ok,1,2026-09-11T05:54:51Z,2026-09-11T05:54:51Z,
ABAT,ok,1,2026-09-11T05:54:51Z,2026-09-11T05:54:51Z,
ABBV,ok,1,2026-09-11T05:54:52Z,2026-09-11T05:54:52Z,
ABCB,ok,1,2026-09-11T05:54:52Z,2026-09-11T05:54:52Z,
ABCL,ok,1,2026-09-11T05:54:53Z,2026-09-11T05:54:53Z,
ABEO,ok,1,2026-09-11T05:54:53Z,2026-09-11T05:54:53Z,
ABEV,ok,1,2026-09-11T05:54:54Z,2026-09-11T05:54:54Z,
ABG,ok,1,2026-09-11T05:54:54Z,2026-09-11T05:54:54Z,
ABLV,ok,1,2026-09-11T05:54:55Z,2026-09-11T05:54:55Z,
ABM,ok,1,2026-09-11T05:54:55Z,2026-09-11T05:54:55Z,
ABNB,ok,1,2026-09-11T05:54:56Z,2026-09-11T05:54:56Z,
ABOS,ok,1,2026-09-11T05:54:56Z,2026-09-11T05:54:56Z,
ABR,ok,1,2026-09-11T05:54:57Z,2026-09-11T05:54:57Z,
ABSI,ok,1,2026-09-11T05:54:57Z,2026-09-11T05:54:57Z,
ABT,ok,1,2026-09-11T05:54:58Z,2026-09-11T05:54:58Z,
ABTC,ok,1,2026-09-11T05:54:58Z,2026-09-11T05:54:58Z,
ABTS,ok,1,2026-09-11T05:54:59Z,2026-09-11T05:54:59Z,
ABUS,ok,1,2026-09-11T05:54:59Z,2026-09-11T05:54:59Z,
ABVC,ok,1,2026-09-11T05:55:00Z,2026-09-11T05:55:00Z,
ABVX,ok,1,2026-09-11T05:55:00Z,2026-09-11T05:55:00Z,
ABX,ok,1,2026-09-11T05:55:01Z,2026-09-11T05:55:01Z,
ACA,ok,1,2026-09-11T05:55:01Z,2026-09-11T05:55:01Z,
ACAA,ok,1,2026-09-11T05:55:02Z,2026-09-11T05:55:02Z,
ACAD,ok,1,2026-09-11T05:55:02Z,2026-09-11T05:55:02Z,
ACB,ok,1,2026-09-11T05:55:03Z,2026-09-11T05:55:03Z,
ACCL,ok,1,2026-09-11T05:55:03Z,2026-09-11T05:55:03Z,
ACCO,ok,1,2026-09-11T05:55:04Z,2026-09-11T05:55:04Z,
ACCS,ok,1,2026-09-11T05:55:04Z,2026-09-11T05:55:04Z,
ACDC,ok,1,2026-09-11T05:55:05Z,2026-09-11T05:55:05Z,
ACEL,ok,1,2026-09-11T05:55:05Z,2026-09-11T05:55:05Z,
ACET,ok,1,2026-09-11T05:55:06Z,2026-09-11T05:55:06Z,
ACFN,ok,1,2026-09-11T05:55:06Z,2026-09-11T05:55:06Z,
ACGC,ok,1,2026-09-11T05:55:07Z,2026-09-11T05:55:07Z,
ACGL,ok,1,2026-09-11T05:55:07Z,2026-09-11T05:55:07Z,
ACH,ok,1,2026-09-11T05:55:08Z,2026-09-11T05:55:08Z,
ACHC,ok,1,2026-09-11T05:55:08Z,2026-09-11T05:55:08Z,
ACHR,ok,1,2026-09-11T05:55:09Z,2026-09-11T05:55:09Z,
ACHV,ok,1,2026-09-11T05:55:09Z,2026-09-11T05:55:09Z,
ACI,ok,1,2026-09-11T05:55:10Z,2026-09-11T05:55:10Z,
ACIC,ok,1,2026-09-11T05:55:10Z,2026-09-11T05:55:10Z,
ACIU,ok,1,2026-09-11T05:55:11Z,2026-09-11T05:55:11Z,
ACIW,ok,1,2026-09-11T05:55:11Z,2026-09-11T05:55:11Z,
ACLS,ok,1,2026-09-11T05:55:12Z,2026-09-11T05:55:12Z,
ACM,ok,1,2026-09-11T05:55:12Z,2026-09-11T05:55:12Z,
ACMR,ok,1,2026-09-11T05:55:13Z,2026-09-11T05:55:13Z,
ACN,ok,1,2026-09-11T05:55:13Z,2026-09-11T05:55:13Z,
ACNB,ok,1,2026-09-11T05:55:14Z,2026-09-11T05:55:14Z,
ACNT,ok,1,2026-09-11T05:55:14Z,2026-09-11T05:55:14Z,
ACOG,ok,1,2026-09-11T05:55:15Z,2026-09-11T05:55:15Z,
ACON,ok,1,2026-09-11T05:55:15Z,2026-09-11T05:55:15Z,
ACP,ok,1,2026-09-11T05:55:16Z,2026-09-11T05:55:16Z,
ACR,ok,1,2026-09-11T05:55:16Z,2026-09-11T05:55:16Z,
ACRE,ok,1,2026-09-11T05:55:17Z,2026-09-11T05:55:17Z,
ACRS,ok,1,2026-09-11T05:55:17Z,2026-09-11T05:55:17Z,
ACRV,ok,1,2026-09-11T05:55:18Z,2026-09-11T05:55:18Z,
ACT,ok,1,2026-09-11T05:55:18Z,2026-09-11T05:55:18Z,
ACTG,ok,1,2026-09-11T05:55:19Z,2026-09-11T05:55:19Z,
ACTU,ok,1,2026-09-11T05:55:19Z,2026-09-11T05:55:19Z,
ACU,ok,1,2026-09-11T05:55:20Z,2026-09-11T05:55:20Z,
ACV,ok,1,2026-09-11T05:55:20Z,2026-09-11T05:55:20Z,
ACVA,ok,1,2026-09-11T05:55:21Z,2026-09-11T05:55:21Z,
ACXP,ok,1,2026-09-11T05:55:21Z,2026-09-11T05:55:21Z,
AD,ok,1,2026-09-11T05:55:22Z,2026-09-11T05:55:22Z,
ADAC,ok,1,2026-09-11T05:55:22Z,2026-09-11T05:55:22Z,
ADAG,ok,1,2026-09-11T05:55:23Z,2026-09-11T05:55:23Z,
ADAM,ok,1,2026-09-11T05:55:23Z,2026-09-11T05:55:23Z,
ADBE,ok,1,2026-09-11T05:55:24Z,2026-09-11T05:55:24Z,
ADBT,ok,1,2026-09-11T05:55:24Z,2026-09-11T05:55:24Z,
ADC,ok,1,2026-09-11T05:55:25Z,2026-09-11T05:55:25Z,
ADCT,ok,1,2026-09-11T05:55:25Z,2026-09-11T05:55:25Z,
ADEA,ok,1,2026-09-11T05:55:26Z,2026-09-11T05:55:26Z,
ADGM,ok,1,2026-09-11T05:55:26Z,2026-09-11T05:55:26Z,
ADI,ok,1,2026-09-11T05:55:27Z,2026-09-11T05:55:27Z,
ADIG,ok,1,2026-09-11T05:55:27Z,2026-09-11T05:55:27Z,
ADIL,ok,1,2026-09-11T05:55:28Z,2026-09-11T05:55:28Z,
ADM,ok,1,2026-09-11T05:55:28Z,2026-09-11T05:55:28Z,
ADMA,ok,1,2026-09-11T05:55:29Z,2026-09-11T05:55:29Z,
ADNT,ok,1,2026-09-11T05:55:29Z,2026-09-11T05:55:29Z,
ADP,ok,1,2026-09-11T05:55:30Z,2026-09-11T05:55:30Z,
ADPT,ok,1,2026-09-11T05:55:30Z,2026-09-11T05:55:30Z,
ADSE,ok,1,2026-09-11T05:55:31Z,2026-09-11T05:55:31Z,
ADSEW,ok,1,2026-09-11T05:55:31Z,2026-09-11T05:55:31Z,
ADSK,ok,1,2026-09-11T05:55:32Z,2026-09-11T05:55:32Z,
ADT,ok,1,2026-09-11T05:55:32Z,2026-09-11T05:55:32Z,
ADTN,ok,1,2026-09-11T05:55:33Z,2026-09-11T05:55:33Z,
ADUR,ok,1,2026-09-11T05:55:33Z,2026-09-11T05:55:33Z,
ADUS,ok,1,2026-09-11T05:55:34Z,2026-09-11T05:55:34Z,
ADV,ok,1,2026-09-11T05:55:34Z,2026-09-11T05:55:34Z,
ADVB,ok,1,2026-09-11T05:55:35Z,2026-09-11T05:55:35Z,
ADX,ok,1,2026-09-11T05:55:35Z,2026-09-11T05:55:35Z,
ADXN,ok,1,2026-09-11T05:55:36Z,2026-09-11T05:55:36Z,
AEAQ,ok,1,2026-09-11T05:55:36Z,2026-09-11T05:55:36Z,
AEBI,ok,1,2026-09-11T05:55:37Z,2026-09-11T05:55:37Z,
AEC,ok,1,2026-09-11T05:55:37Z,2026-09-11T05:55:37Z,
AEE,ok,1,2026-09-11T05:55:38Z,2026-09-11T05:55:38Z,
AEF,ok,1,2026-09-11T05:55:38Z,2026-09-11T05:55:38Z,
AEG,ok,1,2026-09-11T05:55:39Z,2026-09-11T05:55:39Z,
AEHL,ok,1,2026-09-11T05:55:39Z,2026-09-11T05:55:39Z,
AEHR,ok,1,2026-09-11T05:55:40Z,2026-09-11T05:55:40Z,
AEI,ok,1,2026-09-11T05:55:40Z,2026-09-11T05:55:40Z,
AEIS,ok,1,2026-09-11T05:55:41Z,2026-09-11T05:55:41Z,
AEM,ok,1,2026-09-11T05:55:41Z,2026-09-11T05:55:41Z,
AEMD,ok,1,2026-09-11T05:55:42Z,2026-09-11T05:55:42Z,
AENT,ok,1,2026-09-11T05:55:42Z,2026-09-11T05:55:42Z,
AEO,ok,1,2026-09-11T05:55:43Z,2026-09-11T05:55:43Z,
AEON,ok,1,2026-09-11T05:55:43Z,2026-09-11T05:55:43Z,
AEP,ok,1,2026-09-11T05:55:44Z,2026-09-11T05:55:44Z,
AER,ok,1,2026-09-11T05:55:44Z,2026-09-11T05:55:44Z,
AERO,ok,1,2026-09-11T05:55:45Z,2026-09-11T05:55:45Z,
AERT,ok,1,2026-09-11T05:55:45Z,2026-09-11T05:55:45Z,
AES,ok,1,2026-09-11T05:55:46Z,2026-09-11T05:55:46Z,
AESI,ok,1,2026-09-11T05:55:46Z,2026-09-11T05:55:46Z,
AESP,ok,1,2026-09-11T05:55:47Z,2026-09-11T05:55:47Z,
AEVA,ok,1,2026-09-11T05:55:47Z,2026-09-11T05:55:47Z,
AEXA,ok,1,2026-09-11T05:55:48Z,2026-09-11T05:55:48Z,
AEYE,ok,1,2026-09-11T05:55:48Z,2026-09-11T05:55:48Z,
AFB,ok,1,2026-09-11T05:55:49Z,2026-09-11T05:55:49Z,
AFCG,ok,1,2026-09-11T05:55:49Z,2026-09-11T05:55:49Z,
AFG,ok,1,2026-09-11T05:55:50Z,2026-09-11T05:55:50Z,
AFJK,ok,1,2026-09-11T05:55:50Z,2026-09-11T05:55:50Z,
AFL,ok,1,2026-09-11T05:55:51Z,2026-09-11T05:55:51Z,
AFRI,ok,1,2026-09-11T05:55:51Z,2026-09-11T05:55:51Z,
AFRM,ok,1,2026-09-11T05:55:52Z,2026-09-11T05:55:52Z,
AFYA,ok,1,2026-09-11T05:55:52Z,2026-09-11T05:55:52Z,
AG,ok,1,2026-09-11T05:55:53Z,2026-09-11T05:55:53Z,
AGBK,ok,1,2026-09-11T05:55:53Z,2026-09-11T05:55:53Z,
AGCC,ok,1,2026-09-11T05:55:54Z,2026-09-11T05:55:54Z,
AGCO,ok,1,2026-09-11T05:55:54Z,2026-09-11T05:55:54Z,
AGD,ok,1,2026-09-11T05:55:55Z,2026-09-11T05:55:55Z,
AGEN,ok,1,2026-09-11T05:55:55Z,2026-09-11T05:55:55Z,
AGI,ok,1,2026-09-11T05:55:56Z,2026-09-11T05:55:56Z,
AGIG,ok,1,2026-09-11T05:55:56Z,2026-09-11T05:55:56Z,
AGIO,ok,1,2026-09-11T05:55:57Z,2026-09-11T05:55:57Z,
AGL,ok,1,2026-09-11T05:55:57Z,2026-09-11T05:55:57Z,
AGM,ok,1,2026-09-11T05:55:58Z,2026-09-11T05:55:58Z,
AGM-A,ok,1,2026-09-11T05:55:58Z,2026-09-11T05:55:58Z,
AGMB,ok,1,2026-09-11T05:55:59Z,2026-09-11T05:55:59Z,
AGMH,ok,1,2026-09-11T05:55:59Z,2026-09-11T05:55:59Z,
AGNC,ok,1,2026-09-11T05:56:00Z,2026-09-11T05:56:00Z,
AGNT,ok,1,2026-09-11T05:56:00Z,2026-09-11T05:56:00Z,
AGO,ok,1,2026-09-11T05:56:01Z,2026-09-11T05:56:01Z,
AGPU,ok,1,2026-09-11T05:56:01Z,2026-09-11T05:56:01Z,
AGRO,ok,1,2026-09-11T05:56:02Z,2026-09-11T05:56:02Z,
AGRZ,ok,1,2026-09-11T05:56:02Z,2026-09-11T05:56:02Z,
AGX,ok,1,2026-09-11T05:56:03Z,2026-09-11T05:56:03Z,
AGYS,ok,1,2026-09-11T05:56:03Z,2026-09-11T05:56:03Z,
AHCO,ok,1,2026-09-11T05:56:04Z,2026-09-11T05:56:04Z,
AHG,ok,1,2026-09-11T05:56:04Z,2026-09-11T05:56:04Z,
AHMA,ok,1,2026-09-11T05:56:05Z,2026-09-11T05:56:05Z,
AHR,ok,1,2026-09-11T05:56:05Z,2026-09-11T05:56:05Z,
AHRT,ok,1,2026-09-11T05:56:06Z,2026-09-11T05:56:06Z,
AHT,ok,1,2026-09-11T05:56:06Z,2026-09-11T05:56:06Z,
AI,ok,1,2026-09-11T05:56:07Z,2026-09-11T05:56:07Z,
AIAI,ok,1,2026-09-11T05:56:07Z,2026-09-11T05:56:07Z,
AIB,ok,1,2026-09-11T05:56:08Z,2026-09-11T05:56:08Z,
AIBZ,ok,1,2026-09-11T05:56:08Z,2026-09-11T05:56:08Z,
