as_of,source,state_active_veto,state_clean_days,state_consec_inversion,cp_beta,cp_stress_level,cp_chg250_pctile,cp_hyg_lqd_chg60,cp_score,cp_regime,cp_equity_ceiling,fg_vix9d,fg_vix,fg_vix3m,fg_curve_inverted,fg_vvix_pctile,fg_hy_chg20_bp,fg_n_categories,fg_raw_veto,fg_gated_veto,cr_score,cr_threshold_shift,out_w_tqqq,out_w_qqq,out_w_sgov,base_w_tqqq,base_w_qqq,base_w_sgov,tqqq_close,qqq_close
2016-08-12,backfill,0,1,0,-0.6728,0.0,100.0,0.00112,0.0,EXPANSION,1.0,9.54,11.55,15.26,False,57.2,,0,0,0,60.59,-2.117,0.25,0.75,0.0,0.25,0.75,0.0,2.4579,109.3636
2016-08-15,backfill,0,2,0,-0.675,0.0,100.0,0.01241,0.0,EXPANSION,1.0,9.72,11.81,15.38,False,47.6,,0,0,0,62.26,-2.452,0.25,0.75,0.0,0.25,0.75,0.0,2.4888,109.8302
2016-08-16,backfill,0,3,0,-0.6779,0.0032,98.4,0.00926,1.663,EXPANSION,1.0,10.87,12.64,16.02,False,50.0,,0,0,0,62.45,-2.49,0.25,0.75,0.0,0.25,0.75,0.0,2.4495,109.2236
2016-08-17,backfill,0,4,0,-0.6743,0.0008,99.6,0.00763,0.396,EXPANSION,1.0,10.76,12.19,15.52,False,14.000000000000002,,0,0,0,67.88,-3.576,0.25,0.75,0.0,0.25,0.75,0.0,2.461,109.4196
2016-08-18,backfill,0,5,0,-0.6703,0.0,100.0,0.00143,0.0,EXPANSION,1.0,9.9,11.43,15.16,False,7.6,,0,0,0,76.37,-5.273,0.25,0.75,0.0,0.25,0.75,0.0,2.4634,109.4476
2016-08-19,backfill,0,6,0,-0.6601,0.0052,100.0,0.00163,1.915,EXPANSION,1.0,9.4,11.34,15.13,False,7.6,,0,0,0,84.04,-6.808,0.25,0.75,0.0,0.25,0.75,0.0,2.46,109.4196
2016-08-22,backfill,0,7,0,-0.6644,0.0054,100.0,0.00234,1.97,EXPANSION,1.0,10.95,12.27,15.5,False,9.2,,0,0,0,84.95,-6.99,0.25,0.75,0.0,0.25,0.75,0.0,2.4624,109.5036
2016-08-23,backfill,0,8,0,-0.6567,0.0021,99.6,0.00213,0.884,EXPANSION,1.0,11.37,12.38,15.42,False,10.0,,0,0,0,75.63,-5.125,0.25,0.75,0.0,0.25,0.75,0.0,2.4771,109.6995
2016-08-24,backfill,0,9,0,-0.6542,0.0051,97.6,0.00273,2.581,EXPANSION,1.0,12.67,13.45,16.0,False,18.0,,0,0,0,69.66,-3.933,0.25,0.75,0.0,0.25,0.75,0.0,2.4293,108.9904
2016-08-25,backfill,0,10,0,-0.6544,0.0043,97.2,0.00467,2.411,EXPANSION,1.0,12.77,13.63,16.13,False,18.4,,0,0,0,69.4,-3.879,0.25,0.75,0.0,0.25,0.75,0.0,2.4178,108.8131
2016-08-26,backfill,0,11,0,-0.6507,0.0079,96.4,0.00847,3.98,EXPANSION,1.0,12.1,13.65,16.24,False,34.4,,0,0,0,72.01,-4.402,0.25,0.75,0.0,0.25,0.75,0.0,2.4295,108.9717
2016-08-29,backfill,0,12,0,-0.6406,0.0003,98.4,0.01404,0.581,EXPANSION,1.0,11.14,12.94,15.93,False,20.0,,0,0,0,78.36,-5.672,0.25,0.75,0.0,0.25,0.75,0.0,2.4363,109.121
