close_date,above_ma200,above_ma50,total
2025-06-13,7,7,11
2026-08-13,9,10,11
2026-08-14,9,10,11
2026-08-17,9,10,11
2026-08-18,8,9,11
2026-08-19,9,10,11
2026-08-20,8,9,11
2026-08-21,9,9,11
2026-08-24,9,8,11
2026-08-25,9,8,11
2026-08-26,9,9,11
2026-08-27,8,7,11
2026-08-28,9,8,11
2026-08-31,8,8,11
2026-09-01,8,7,11
2026-09-02,8,7,11
2026-09-03,8,8,11
2026-09-04,8,6,11
2026-09-08,8,6,11
2026-09-09,8,5,11
2026-09-10,7,3,11
2026-09-11,8,4,11
2026-09-14,9,4,11
2026-09-15,8,4,11
2026-09-16,7,4,11
2026-09-17,7,4,11
2026-09-18,4,3,11
2026-09-22,8,4,11
