ticker,name,exchange,is_etf,security_type,source
A,"Agilent Technologies, Inc. Common Stock",N,False,common,nasdaqtrader
AA,Alcoa Corporation Common Stock,N,False,common,nasdaqtrader
AAC-U,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",N,False,warrant,nasdaqtrader
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,False,right,nasdaqtrader
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,False,unit,nasdaqtrader
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,False,common,nasdaqtrader
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,False,common,nasdaqtrader
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,False,unit,nasdaqtrader
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,False,warrant,nasdaqtrader
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,False,common,nasdaqtrader
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,False,unit,nasdaqtrader
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,False,warrant,nasdaqtrader
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AACPR,Apogee Acquisition Corp - Rights,NASDAQ,False,right,nasdaqtrader
AACPU,Apogee Acquisition Corp - Units,NASDAQ,False,unit,nasdaqtrader
AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,False,warrant,nasdaqtrader
AADX,"Applied Aerospace & Defense, Inc. Common Stock",N,False,common,nasdaqtrader
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AAME,Atlantic American Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
AAMI,Acadian Asset Management Inc. Common Stock,N,False,common,nasdaqtrader
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AAON,"AAON, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AAP,Advance Auto Parts Inc.,N,False,common,nasdaqtrader
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,False,common,nasdaqtrader
AAPL,Apple Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AAT,"American Assets Trust, Inc. Common Stock",N,False,common,nasdaqtrader
AAUC,Allied Gold Corporation Common Shares,N,False,common,nasdaqtrader
AB,AllianceBernstein Holding L.P.  Units,N,False,common,nasdaqtrader
ABAT,American Battery Technology Company - Common Stock,NASDAQ,False,common,nasdaqtrader
ABBV,AbbVie Inc. Common Stock,N,False,common,nasdaqtrader
ABCB,Ameris Bancorp Common Stock,N,False,common,nasdaqtrader
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,False,common,nasdaqtrader
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,False,common,nasdaqtrader
ABG,Asbury Automotive Group Inc Common Stock,N,False,common,nasdaqtrader
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,False,common,nasdaqtrader
ABLVW,Able View Global Inc. - Warrant,NASDAQ,False,warrant,nasdaqtrader
ABM,ABM Industries Incorporated Common Stock,N,False,common,nasdaqtrader
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,False,common,nasdaqtrader
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ABR,Arbor Realty Trust Common Stock,N,False,common,nasdaqtrader
ABR-PD,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",N,False,preferred,nasdaqtrader
ABR-PE,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,N,False,preferred,nasdaqtrader
ABR-PF,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",N,False,preferred,nasdaqtrader
ABSI,Absci Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
ABT,Abbott Laboratories Common Stock,N,False,common,nasdaqtrader
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,False,common,nasdaqtrader
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,False,common,nasdaqtrader
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ABVX,Abivax SA - American Depositary Shares,NASDAQ,False,common,nasdaqtrader
ABX,"Abacus Global Management, Inc. Class A Common Stock",N,False,common,nasdaqtrader
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",N,False,note,nasdaqtrader
ACA,"Arcosa, Inc. Common Stock",N,False,common,nasdaqtrader
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
ACAAU,Averin Capital Acquisition Corp. - Units,NASDAQ,False,unit,nasdaqtrader
ACAAW,Averin Capital Acquisition Corp. - Warrants,NASDAQ,False,warrant,nasdaqtrader
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,False,common,nasdaqtrader
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
ACCO,Acco Brands Corporation Common Stock,N,False,common,nasdaqtrader
ACCS,ACCESS Newswire Inc. Common Stock,A,False,common,nasdaqtrader
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,False,common,nasdaqtrader
ACEL,"Accel Entertainment, Inc.",N,False,common,nasdaqtrader
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
ACGCU,ACP Holdings Acquisition Corp. - Units,NASDAQ,False,unit,nasdaqtrader
ACGCW,ACP Holdings Acquisition Corp. - Warrants,NASDAQ,False,warrant,nasdaqtrader
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,False,common,nasdaqtrader
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ,False,preferred,nasdaqtrader
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ,False,preferred,nasdaqtrader
ACH,"Accendra Health, Inc. Common Stock",N,False,common,nasdaqtrader
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACHR,Archer Aviation Inc. Class A Common Stock,N,False,common,nasdaqtrader
ACHR-W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,False,warrant,nasdaqtrader
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,False,common,nasdaqtrader
ACI,"Albertsons Companies, Inc. Class A Common Stock",N,False,common,nasdaqtrader
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
ACIU,AC Immune SA - Common Stock,NASDAQ,False,common,nasdaqtrader
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACM,AECOM Common Stock,N,False,common,nasdaqtrader
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,False,common,nasdaqtrader
ACN,Accenture plc Class A Ordinary Shares (Ireland),N,False,common,nasdaqtrader
ACNB,ACNB Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,False,common,nasdaqtrader
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
