as_of,net_flow_musd,scope,period,source_url
2026-08-10,-0.69536,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-11,0.05909,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-12,0.26353,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-13,-0.31195,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-14,-0.67965,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-17,0.04342,主要股票型ETF×16（aum）,3日,computed:aum
2026-08-18,0.43566,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-19,0.81422,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-20,-0.19564,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-21,0.84685,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-24,-0.14067,主要股票型ETF×16（aum）,3日,computed:aum
2026-08-25,0.34385,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-27,-0.15413,主要股票型ETF×16（aum）,2日,computed:aum
2026-08-28,-0.03444,主要股票型ETF×16（aum）,1日,computed:aum
2026-08-29,-0.65734,主要股票型ETF×16（aum）,1日,computed:aum
2026-09-01,0.1091,主要股票型ETF×16（aum）,3日,computed:aum
2026-09-02,0.30414,主要股票型ETF×16（aum）,1日,computed:aum
2026-09-03,0.76758,主要股票型ETF×16（aum）,1日,computed:aum
2026-09-04,-0.45046,主要股票型ETF×16（aum）,1日,computed:aum
