as_of,universe_count,covered_count,median_upside_pct,mean_upside_pct,pct_undervalued,sources
2026-08-17,102,102,14.94,18.09,91.18,yahoo
2026-08-18,102,102,16.95,20.22,92.16,yahoo
2026-08-19,102,102,17.91,20.0,89.22,yahoo
2026-08-20,102,102,17.27,20.59,92.16,yahoo
2026-08-21,102,102,18.06,20.13,91.18,yahoo
2026-08-22,102,102,18.67,20.24,92.16,yahoo
2026-08-25,102,102,18.15,20.83,92.16,yahoo
2026-08-27,102,102,18.04,20.77,93.14,yahoo
2026-08-28,102,102,17.25,19.67,89.22,yahoo
2026-08-29,102,102,17.25,19.65,89.22,yahoo
2026-08-30,102,102,19.06,21.15,90.2,yahoo
