as_of,universe_count,covered_count,median_upside_pct,mean_upside_pct,pct_undervalued,sources
2026-08-08,503,500,11.56,13.61,92.4,yahoo
2026-08-09,503,500,11.78,13.63,92.4,yahoo
2026-08-11,503,499,11.99,13.42,91.78,yahoo
2026-08-12,503,499,11.77,13.21,91.98,yahoo
2026-08-13,503,499,11.35,12.4,89.98,yahoo
2026-08-14,503,499,11.13,12.33,91.18,yahoo
2026-08-15,503,499,11.19,12.37,91.18,yahoo
2026-08-17,503,499,11.32,12.53,91.78,yahoo
2026-08-18,503,499,12.85,14.22,92.99,yahoo
2026-08-19,503,499,12.59,13.59,89.98,yahoo
2026-08-20,503,499,13.29,14.57,92.38,yahoo
2026-08-21,503,499,12.44,13.96,90.58,yahoo
2026-08-22,503,498,12.52,14.04,91.16,yahoo
2026-08-25,503,499,11.81,14.2,90.78,yahoo
2026-08-27,503,499,11.83,14.0,91.98,yahoo
2026-08-28,503,499,12.75,14.39,91.38,yahoo
2026-08-29,503,499,12.75,14.39,91.38,yahoo
2026-08-30,503,499,12.9,14.91,91.58,yahoo
2026-09-02,503,499,14.38,16.88,92.99,yahoo
2026-09-03,503,499,14.38,17.17,93.19,yahoo
